Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,G. Bordeaux,38,24,8,6,64:34,30,80
2,Marseille,38,22,11,5,67:35,32,77
3,Olympique Lyon,38,20,11,7,52:29,23,71
4,Toulouse,38,16,16,6,45:27,18,64
5,LOSC Lille,38,17,13,8,51:39,12,64
6,Paris SG,38,19,7,12,49:38,11,64
7,Stade Rennais,38,15,16,7,42:34,8,61
8,AJ Auxerre,38,16,7,15,35:35,0,55
9,OGC Nice,38,13,11,14,40:41,-1,50
10,FC Lorient,38,10,15,13,47:47,0,45
11,Monaco,38,11,12,15,41:45,-4,45
12,Valenciennes FC,38,10,14,14,35:42,-7,44
13,Grenoble,38,10,14,14,24:37,-13,44
14,FC Sochaux,38,10,12,16,40:48,-8,42
15,AS Nancy,38,10,12,16,38:47,-9,42
16,Le Mans UC 72,38,10,10,18,43:54,-11,40
17,Saint-Étienne,38,11,7,20,40:56,-16,40
18,SM Caen,38,8,13,17,42:49,-7,37
19,FC Nantes,38,9,10,19,33:54,-21,37
20,AC Le Havre,38,7,5,26,30:67,-37,26
