Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Nantes,34,21,5,8,58:36,22,68
2,Olympique Lyon,34,17,13,4,57:30,27,64
3,LOSC Lille,34,16,11,7,43:27,16,59
4,G. Bordeaux,34,15,12,7,48:33,15,57
5,CS Sedan,34,14,10,10,47:40,7,52
6,Stade Rennais,34,15,5,14,46:37,9,50
7,Troyes,34,11,13,10,45:47,-2,46
8,SC Bastia,34,13,6,15,45:41,4,45
9,Paris SG,34,12,8,14,44:45,-1,44
10,Guingamp,34,11,11,12,40:48,-8,44
11,Monaco,34,12,7,15,53:50,3,43
12,FC Metz,34,11,9,14,35:44,-9,42
13,AJ Auxerre,34,11,8,15,31:41,-10,41
14,Lens,34,9,13,12,37:39,-2,40
15,Marseille,34,11,7,16,31:40,-9,40
16,Saint-Étienne,34,9,10,15,43:56,-13,37
17,Toulouse,34,8,10,16,34:50,-16,34
18,R. Strasbourg,34,7,8,19,28:61,-33,29
