Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Paris SG,38,29,6,3,108:29,79,93
2,Monaco,38,24,8,6,85:45,40,80
3,Olympique Lyon,38,23,9,6,87:43,44,78
4,Marseille,38,22,11,5,80:47,33,77
5,Stade Rennais,38,16,10,12,50:44,6,58
6,G. Bordeaux,38,16,7,15,53:48,5,55
7,Saint-Étienne,38,15,10,13,47:50,-3,55
8,OGC Nice,38,15,9,14,53:52,1,54
9,FC Nantes,38,14,10,14,36:41,-5,52
10,Montpellier,38,11,18,9,36:33,3,51
11,Dijon,38,13,9,16,55:73,-18,48
12,Guingamp,38,12,11,15,48:59,-11,47
13,SC Amiens,38,12,9,17,37:42,-5,45
14,SCO Angers,38,9,14,15,42:52,-10,41
15,R. Strasbourg,38,9,11,18,44:67,-23,38
16,SM Caen,38,10,8,20,27:52,-25,38
17,LOSC Lille,38,10,8,20,41:67,-26,38
18,Toulouse,38,9,10,19,38:54,-16,37
19,Troyes,38,9,6,23,32:59,-27,33
20,FC Metz,38,6,8,24,34:76,-42,26
