Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Saint-Étienne,38,22,12,4,67:26,41,56:20
2,FC Nantes,38,22,11,5,74:36,38,55:21
3,G. Bordeaux,38,18,14,6,57:33,24,50:26
4,Monaco,38,19,11,8,58:41,17,49:27
5,Paris SG,38,17,12,9,62:50,12,46:30
6,Olympique Lyon,38,14,13,11,70:54,16,41:35
7,R. Strasbourg,38,14,12,12,44:47,-3,40:36
8,AS Nancy,38,15,7,16,55:49,6,37:39
9,FC Metz,38,10,16,12,48:53,-5,36:40
10,AJ Auxerre,38,10,16,12,46:52,-6,36:40
11,US Valenciennes,38,12,12,14,51:70,-19,36:40
12,SEC Bastia,38,13,9,16,50:55,-5,35:41
13,Lens,38,10,14,14,46:48,-2,34:42
14,FC Sochaux,38,10,14,14,51:59,-8,34:42
15,OGC Nice,38,10,12,16,47:61,-14,32:44
16,Stade Lavallois,38,10,11,17,49:55,-6,31:45
17,LOSC Lille,38,10,11,17,55:71,-16,31:45
18,FC Tours,38,9,13,16,54:71,-17,31:45
19,Nîmes Olympique,38,6,14,18,46:66,-20,26:50
20,SCO Angers,38,5,14,19,33:66,-33,24:52
