Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Nantes,38,21,16,1,71:34,37,58:18
2,Olympique Lyon,38,19,12,7,56:38,18,50:26
3,AJ Auxerre,38,15,17,6,59:34,25,47:29
4,Paris SG,38,20,7,11,58:41,17,47:29
5,Lens,38,15,14,9,48:44,4,44:32
6,Monaco,38,15,12,11,60:39,21,42:34
7,G. Bordeaux,38,16,9,13,52:47,5,41:35
8,FC Metz,38,16,8,14,50:44,6,40:36
9,Cannes,38,15,8,15,56:48,8,38:38
10,R. Strasbourg,38,13,12,13,43:43,0,38:38
11,FC Martigues,38,13,12,13,37:49,-12,38:38
12,AC Le Havre,38,12,13,13,46:49,-3,37:39
13,Stade Rennais,38,12,12,14,53:55,-2,36:40
14,LOSC Lille,38,13,9,16,29:44,-15,35:41
15,SC Bastia,38,11,11,16,44:56,-12,33:43
16,OGC Nice,38,11,10,17,39:52,-13,32:44
17,Montpellier,38,9,14,15,38:53,-15,32:44
18,Saint-Étienne,38,9,11,18,45:55,-10,29:47
19,SM Caen,38,10,6,22,38:58,-20,26:50
20,FC Sochaux,38,6,5,27,29:68,-39,17:59
