Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Olympique Lyon,38,24,7,7,64:26,38,79
2,Paris SG,38,22,10,6,50:28,22,76
3,Monaco,38,21,12,5,59:30,29,75
4,AJ Auxerre,38,19,8,11,60:34,26,65
5,FC Sochaux,38,18,9,11,54:42,12,63
6,FC Nantes,38,17,9,12,47:35,12,60
7,Marseille,38,17,6,15,51:45,6,57
8,Lens,38,15,8,15,34:48,-14,53
9,Stade Rennais,38,14,10,14,56:44,12,52
10,LOSC Lille,38,14,9,15,41:41,0,51
11,OGC Nice,38,11,17,10,42:39,3,50
12,G. Bordeaux,38,13,11,14,40:43,-3,50
13,R. Strasbourg,38,10,13,15,43:50,-7,43
14,FC Metz,38,11,9,18,34:42,-8,42
15,AC Ajaccio,38,10,10,18,33:55,-22,40
16,Toulouse,38,9,12,17,31:44,-13,39
17,SC Bastia,38,9,12,17,33:49,-16,39
18,Guingamp,38,10,8,20,36:58,-22,38
19,Le Mans UC 72,38,9,11,18,35:57,-22,38
20,Montpellier,38,8,7,23,41:74,-33,31
