Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Olympique Lyon,38,24,9,5,64:27,37,81
2,Marseille,38,19,7,12,53:38,15,64
3,Toulouse,38,17,7,14,47:43,4,58
4,Stade Rennais,38,14,15,9,38:30,8,57
5,Lens,38,15,12,11,47:41,6,57
6,G. Bordeaux,38,16,9,13,39:35,4,57
7,FC Sochaux,38,15,12,11,46:48,-2,57
8,AJ Auxerre,38,13,15,10,41:41,0,54
9,Monaco,38,13,12,13,45:38,7,51
10,LOSC Lille,38,13,11,14,45:43,2,50
11,Saint-Étienne,38,14,7,17,52:50,2,49
12,Le Mans UC 72,38,11,16,11,45:46,-1,49
13,AS Nancy,38,13,10,15,37:44,-7,49
14,FC Lorient,38,12,13,13,33:40,-7,49
15,Paris SG,38,12,12,14,42:42,0,48
16,OGC Nice,38,9,16,13,34:40,-6,43
17,Valenciennes FC,38,11,10,17,36:48,-12,43
18,Troyes,38,9,12,17,39:54,-15,39
19,CS Sedan,38,7,14,17,46:58,-12,35
20,FC Nantes,38,7,13,18,29:52,-23,34
