Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Olympique Lyon,38,22,13,3,56:22,34,79
2,LOSC Lille,38,18,13,7,52:29,23,67
3,Monaco,38,15,18,5,52:35,17,63
4,Stade Rennais,38,15,10,13,49:42,7,55
5,Marseille,38,15,10,13,47:42,5,55
6,Saint-Étienne,38,12,17,9,47:34,13,53
7,Lens,38,13,13,12,45:39,6,52
8,AJ Auxerre,38,14,10,14,48:47,1,52
9,Paris SG,38,12,15,11,40:41,-1,51
10,FC Sochaux,38,13,11,14,42:41,1,50
11,R. Strasbourg,38,12,12,14,42:43,-1,48
12,OGC Nice,38,10,16,12,38:45,-7,46
13,Toulouse,38,12,10,16,36:43,-7,46
14,AC Ajaccio,38,10,15,13,36:40,-4,45
15,G. Bordeaux,38,8,20,10,37:41,-4,44
16,FC Metz,38,10,14,14,33:45,-12,44
17,FC Nantes,38,10,13,15,33:38,-5,43
18,SM Caen,38,10,12,16,36:60,-24,42
19,SC Bastia,38,11,8,19,32:48,-16,41
20,FC Istres,38,6,14,18,25:51,-26,32
