Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,G. Bordeaux,38,25,9,4,70:27,43,59:17
2,FC Nantes,38,24,8,6,62:32,30,56:20
3,Monaco,38,18,12,8,65:28,37,48:28
4,AJ Auxerre,38,18,11,9,53:39,14,47:29
5,FC Metz,38,18,9,11,50:46,4,45:31
6,SC Toulon Var,38,19,6,13,46:37,9,44:32
7,Lens,38,16,8,14,57:43,14,40:36
8,FC Sochaux,38,12,14,12,56:43,13,38:38
9,Brest Armorique,38,11,14,13,50:51,-1,36:40
10,Stade Lavallois,38,12,12,14,39:52,-13,36:40
11,Toulouse,38,11,13,14,43:49,-6,35:41
12,AS Nancy,38,12,10,16,52:54,-2,34:42
13,Paris SG,38,13,7,18,58:73,-15,33:43
14,SEC Bastia,38,11,10,17,39:68,-29,32:44
15,LOSC Lille,38,9,13,16,37:45,-8,31:45
16,R. Strasbourg,38,9,13,16,47:57,-10,31:45
17,Marseille,38,13,5,20,51:67,-16,31:45
18,Rouen,38,8,13,17,28:46,-18,29:47
19,FC Tours,38,9,11,18,44:66,-22,29:47
20,RC Paris,38,9,8,21,32:56,-24,26:50
