Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Paris SG,38,24,11,3,54:22,32,59:17
2,Marseille,38,19,13,6,56:33,23,51:25
3,AJ Auxerre,38,18,10,10,55:29,26,46:30
4,G. Bordeaux,38,19,8,11,54:37,17,46:30
5,FC Nantes,38,17,11,10,47:32,15,45:31
6,Cannes,38,16,12,10,50:43,7,44:32
7,Montpellier,38,15,13,10,41:37,4,43:33
8,Olympique Lyon,38,17,8,13,38:40,-2,42:34
9,Monaco,38,14,13,11,52:36,16,41:35
10,Lens,38,13,13,12,49:40,9,39:37
11,Saint-Étienne,38,12,13,13,38:36,2,37:39
12,FC Metz,38,12,13,13,36:35,1,37:39
13,R. Strasbourg,38,10,14,14,43:47,-4,34:42
14,FC Sochaux,38,10,13,15,39:49,-10,33:43
15,LOSC Lille,38,8,16,14,41:52,-11,32:44
16,SM Caen,38,12,7,19,29:54,-25,31:45
17,AC Le Havre,38,7,15,16,29:48,-19,29:47
18,FC Martigues,38,5,17,16,37:58,-21,27:49
19,Toulouse,38,4,15,19,26:60,-34,23:53
20,SCO Angers,38,4,13,21,37:63,-26,21:55
