Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Paris SG,38,29,4,5,105:35,70,91
2,LOSC Lille,38,22,9,7,68:33,35,75
3,Olympique Lyon,38,21,9,8,70:47,23,72
4,Saint-Étienne,38,19,9,10,59:41,18,66
5,Marseille,38,18,7,13,60:52,8,61
6,Montpellier,38,15,14,9,53:42,11,59
7,OGC Nice,38,15,11,12,30:35,-5,56
8,Reims,38,13,16,9,39:42,-3,55
9,Nîmes Olympique,38,15,8,15,57:58,-1,53
10,Stade Rennais,38,13,13,12,55:52,3,52
11,R. Strasbourg,38,11,16,11,58:48,10,49
12,FC Nantes,38,13,9,16,48:48,0,48
13,SCO Angers,38,10,16,12,44:49,-5,46
14,G. Bordeaux,38,10,11,17,34:42,-8,41
15,SC Amiens,38,9,11,18,31:52,-21,38
16,Toulouse,38,8,14,16,35:57,-22,38
17,Monaco,38,8,12,18,38:57,-19,36
18,Dijon,38,9,7,22,31:60,-29,34
19,SM Caen,38,7,12,19,29:54,-25,33
20,Guingamp,38,5,12,21,28:68,-40,27
