Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,G. Bordeaux,34,22,6,6,66:29,37,72
2,Marseille,34,21,8,5,56:28,28,71
3,Olympique Lyon,34,18,9,7,51:31,20,63
4,Monaco,34,18,8,8,52:32,20,62
5,Stade Rennais,34,17,8,9,45:38,7,59
6,Lens,34,14,7,13,46:43,3,49
7,FC Nantes,34,12,12,10,40:34,6,48
8,Montpellier,34,11,10,13,53:50,3,43
9,Paris SG,34,10,9,15,34:35,-1,39
10,FC Metz,34,9,12,13,28:37,-9,39
11,AS Nancy,34,10,9,15,35:45,-10,39
12,R. Strasbourg,34,8,14,12,30:36,-6,38
13,SC Bastia,34,10,8,16,37:46,-9,38
14,AJ Auxerre,34,9,10,15,40:45,-5,37
15,AC Le Havre,34,8,11,15,23:38,-15,35
16,FC Lorient,34,8,11,15,33:49,-16,35
17,FC Sochaux,34,6,15,13,30:54,-24,33
18,Toulouse,34,6,11,17,24:53,-29,29
