Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Lens,34,21,5,8,55:30,25,68
2,FC Metz,34,20,8,6,48:28,20,68
3,Monaco,34,18,5,11,51:33,18,59
4,Marseille,34,16,9,9,47:27,20,57
5,G. Bordeaux,34,15,11,8,49:41,8,56
6,Olympique Lyon,34,16,5,13,39:37,2,53
7,AJ Auxerre,34,14,9,11,55:45,10,51
8,Paris SG,34,14,8,12,43:35,8,50
9,SC Bastia,34,13,11,10,36:31,5,50
10,AC Le Havre,34,10,14,10,38:35,3,44
11,FC Nantes,34,11,8,15,35:41,-6,41
12,Montpellier,34,10,11,13,32:42,-10,41
13,R. Strasbourg,34,9,10,15,39:43,-4,37
14,Stade Rennais,34,9,9,16,36:48,-12,36
15,Toulouse,34,9,9,16,26:46,-20,36
16,Guingamp,34,9,8,17,30:42,-12,35
17,LB Châteauroux,34,8,7,19,31:59,-28,31
18,Cannes,34,7,7,20,32:59,-27,28
