Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Paris SG,38,25,8,5,69:23,46,83
2,Marseille,38,21,8,9,42:36,6,71
3,Olympique Lyon,38,19,10,9,61:38,23,67
4,OGC Nice,38,18,10,10,57:46,11,64
5,Saint-Étienne,38,16,15,7,60:32,28,63
6,LOSC Lille,38,16,14,8,59:40,19,62
7,G. Bordeaux,38,13,16,9,40:34,6,55
8,FC Lorient,38,14,11,13,57:58,-1,53
9,Montpellier,38,15,7,16,54:51,3,52
10,Toulouse,38,13,12,13,49:47,2,51
11,Valenciennes FC,38,12,12,14,49:53,-4,48
12,SC Bastia,38,13,8,17,50:66,-16,47
13,Stade Rennais,38,13,7,18,48:59,-11,46
14,Reims,38,10,13,15,33:42,-9,43
15,FC Sochaux,38,10,11,17,41:57,-16,41
16,Thonon Évian,38,10,10,18,46:53,-7,40
17,AC Ajaccio,38,9,15,14,39:51,-12,40
18,AS Nancy,38,9,11,18,38:58,-20,38
19,Troyes,38,8,13,17,43:61,-18,37
20,Stade Brest 29,38,8,5,25,32:62,-30,29
