Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,21,8,5,79:38,41,50:18
2,Werder Bremen,34,18,10,6,87:51,36,46:22
3,1. FC Köln,34,18,4,12,69:66,3,40:28
4,Bor. M'gladbach,34,15,9,10,77:53,24,39:29
5,Hamburger SV,34,14,9,11,58:49,9,37:31
6,Waldh. Mannheim,34,13,11,10,47:50,-3,37:31
7,Bay. Uerdingen,34,14,8,12,57:52,5,36:32
8,FC Schalke 04,34,13,8,13,63:62,1,34:34
9,VfL Bochum,34,12,10,12,52:54,-2,34:34
10,VfB Stuttgart,34,14,5,15,79:59,20,33:35
11,1.FC K'lautern,34,11,11,12,56:60,-4,33:35
12,E. Frankfurt,34,10,12,12,62:67,-5,32:36
13,Bay. Leverkusen,34,9,13,12,52:54,-2,31:37
14,Bor. Dortmund,34,13,4,17,51:65,-14,30:38
15,F. Düsseldorf,34,10,9,15,53:66,-13,29:39
16,Arm. Bielefeld,34,8,13,13,46:61,-15,29:39
17,Karlsruher SC,34,5,12,17,47:88,-41,22:46
18,E. Braunschweig,34,9,2,23,39:79,-40,20:48
