Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,1.FC Nuremberg,34,19,9,6,71:37,34,47:21
2,Werder Bremen,34,18,8,8,68:51,17,44:24
3,Bor. M'gladbach,34,15,12,7,77:45,32,42:26
4,1. FC Köln,34,17,4,13,68:52,16,38:30
5,Bayern Munich ,34,16,6,12,68:58,10,38:30
6,E. Frankfurt,34,15,8,11,58:51,7,38:30
7,MSV Duisburg,34,13,10,11,69:58,11,36:32
8,VfB Stuttgart,34,14,7,13,65:54,11,35:33
9,E. Braunschweig,34,15,5,14,37:39,-2,35:33
10,Hannover 96,34,12,10,12,48:52,-4,34:34
11,Alem. Aachen,34,13,8,13,52:66,-14,34:34
12,1860 Munich,34,11,11,12,55:39,16,33:35
13,Hamburger SV,34,11,11,12,51:54,-3,33:35
14,Bor. Dortmund,34,12,7,15,60:59,1,31:37
15,FC Schalke 04,34,11,8,15,42:48,-6,30:38
16,1.FC K'lautern,34,8,12,14,39:67,-28,28:40
17,B. Neunkirchen,34,7,5,22,33:93,-60,19:49
18,Karlsruher SC,34,6,5,23,32:70,-38,17:51
