Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,22,9,3,67:32,35,75
2,Werder Bremen,34,21,7,6,79:37,42,70
3,Hamburger SV,34,21,5,8,53:30,23,68
4,FC Schalke 04,34,16,13,5,47:31,16,61
5,Bay. Leverkusen,34,14,10,10,64:49,15,52
6,Hertha BSC,34,12,12,10,52:48,4,48
7,Bor. Dortmund,34,11,13,10,45:42,3,46
8,1.FC Nuremberg,34,12,8,14,49:51,-2,44
9,VfB Stuttgart,34,9,16,9,37:39,-2,43
10,Bor. M'gladbach,34,10,12,12,42:50,-8,42
11,1.FSV Mainz 05,34,9,11,14,46:47,-1,38
12,Hannover 96,34,7,17,10,43:47,-4,38
13,Arm. Bielefeld,34,10,7,17,32:47,-15,37
14,E. Frankfurt,34,9,9,16,42:51,-9,36
15,VfL Wolfsburg,34,7,13,14,33:55,-22,34
16,1.FC K'lautern,34,8,9,17,47:71,-24,33
17,1. FC Köln,34,7,9,18,49:71,-22,30
18,MSV Duisburg,34,5,12,17,34:63,-29,27
