Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bor. M'gladbach,34,23,5,6,71:29,42,51:17
2,Bayern Munich ,34,21,5,8,88:37,51,47:21
3,Hertha BSC,34,20,5,9,67:41,26,45:23
4,1. FC Köln,34,20,3,11,83:38,45,43:25
5,Bor. Dortmund,34,14,8,12,60:67,-7,36:32
6,Hamburger SV,34,12,11,11,57:54,3,35:33
7,VfB Stuttgart,34,14,7,13,59:62,-3,35:33
8,E. Frankfurt,34,12,10,12,54:54,0,34:34
9,FC Schalke 04,34,11,12,11,43:54,-11,34:34
10,1.FC K'lautern,34,10,12,12,44:55,-11,32:36
11,Werder Bremen,34,10,11,13,38:47,-9,31:37
12,RW Essen,34,8,15,11,41:54,-13,31:37
13,Hannover 96,34,11,8,15,49:61,-12,30:38
14,RW Oberhausen,34,11,7,16,50:62,-12,29:39
15,MSV Duisburg,34,9,11,14,35:48,-13,29:39
16,E. Braunschweig,34,9,10,15,40:49,-9,28:40
17,1860 Munich,34,9,7,18,41:56,-15,25:43
18,Alem. Aachen,34,5,7,22,31:83,-52,17:51
