Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Werder Bremen,34,22,8,4,79:38,41,74
2,Bayern Munich ,34,20,8,6,70:39,31,68
3,Bay. Leverkusen,34,19,8,7,73:39,34,65
4,VfB Stuttgart,34,18,10,6,52:24,28,64
5,VfL Bochum,34,15,11,8,57:39,18,56
6,Bor. Dortmund,34,16,7,11,59:48,11,55
7,FC Schalke 04,34,13,11,10,49:42,7,50
8,Hamburger SV,34,14,7,13,47:60,-13,49
9,Hansa Rostock,34,12,8,14,55:54,1,44
10,VfL Wolfsburg,34,13,3,18,56:61,-5,42
11,Bor. M'gladbach,34,10,9,15,40:49,-9,39
12,Hertha BSC,34,9,12,13,42:59,-17,39
13,SC Freiburg,34,10,8,16,42:67,-25,38
14,Hannover 96,34,9,10,15,49:63,-14,37
15,1.FC K'lautern,34,11,6,17,39:62,-23,36
16,E. Frankfurt,34,9,5,20,36:53,-17,32
17,1860 Munich,34,8,8,18,32:55,-23,32
18,1. FC Köln,34,6,5,23,32:57,-25,23
