Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,25,4,5,93:29,64,54:14
2,1. FC Köln,34,16,11,7,66:51,15,43:25
3,F. Düsseldorf,34,15,12,7,62:45,17,42:26
4,Wuppertaler SV,34,15,10,9,62:49,13,40:28
5,Bor. M'gladbach,34,17,5,12,82:61,21,39:29
6,VfB Stuttgart,34,17,3,14,71:65,6,37:31
7,K. Offenbach,34,14,7,13,61:60,1,35:33
8,E. Frankfurt,34,15,4,15,58:54,4,34:34
9,1.FC K'lautern,34,12,10,12,58:68,-10,34:34
10,MSV Duisburg,34,12,9,13,53:54,-1,33:35
11,Werder Bremen,34,12,7,15,50:52,-2,31:37
12,VfL Bochum,34,11,9,14,50:68,-18,31:37
13,Hertha BSC,34,11,8,15,53:64,-11,30:38
14,Hamburger SV,34,10,8,16,53:59,-6,28:40
15,FC Schalke 04,34,10,8,16,46:61,-15,28:40
16,Hannover 96,34,9,8,17,49:65,-16,26:42
17,E. Braunschweig,34,9,7,18,33:56,-23,25:43
18,RW Oberhausen,34,9,4,21,45:84,-39,22:46
