Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Werder Bremen,30,15,11,4,54:29,25,41:19
2,1. FC Köln,30,14,10,6,66:45,21,38:22
3,Bor. Dortmund,30,15,6,9,67:48,19,36:24
4,1860 Munich,30,14,7,9,70:50,20,35:25
5,Hannover 96,30,13,7,10,48:42,6,33:27
6,1.FC Nuremberg,30,11,10,9,44:38,6,32:28
7,Meidericher SV,30,12,8,10,46:48,-2,32:28
8,E. Frankfurt,30,11,7,12,50:58,-8,29:31
9,E. Braunschweig,30,10,8,12,42:47,-5,28:32
10,B. Neunkirchen,30,9,9,12,44:48,-4,27:33
11,Hamburger SV,30,11,5,14,46:56,-10,27:33
12,VfB Stuttgart,30,9,8,13,46:50,-4,26:34
13,1.FC K'lautern,30,11,3,16,41:53,-12,25:35
14,Hertha BSC,30,7,11,12,40:62,-22,25:35
15,Karlsruher SC,30,9,6,15,47:62,-15,24:36
16,FC Schalke 04,30,7,8,15,45:60,-15,22:38
