Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bor. M'gladbach,34,21,8,5,86:40,46,50:18
2,Hertha BSC,34,19,6,9,61:43,18,44:24
3,E. Frankfurt,34,18,7,9,89:49,40,43:25
4,Hamburger SV,34,18,7,9,55:38,17,43:25
5,1. FC Köln,34,17,7,10,77:51,26,41:27
6,F. Düsseldorf,34,16,9,9,66:55,11,41:27
7,FC Schalke 04,34,16,7,11,52:37,15,39:29
8,K. Offenbach,34,17,4,13,72:62,10,38:30
9,E. Braunschweig,34,14,8,12,52:42,10,36:32
10,Bayern Munich ,34,14,6,14,57:63,-6,34:34
11,VfL Bochum,34,14,5,15,53:53,0,33:35
12,RW Essen,34,10,12,12,56:68,-12,32:36
13,1.FC K'lautern,34,13,5,16,56:55,1,31:37
14,MSV Duisburg,34,12,6,16,59:77,-18,30:38
15,Werder Bremen,34,9,7,18,45:69,-24,25:43
16,VfB Stuttgart,34,8,8,18,50:79,-29,24:44
17,TeBe Berlin,34,5,6,23,38:89,-51,16:52
18,Wuppertaler SV,34,2,8,24,32:86,-54,12:56
