Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,1860 Munich,34,20,10,4,80:40,40,50:18
2,Bor. Dortmund,34,19,9,6,70:36,34,47:21
3,Bayern Munich ,34,20,7,7,71:38,33,47:21
4,Werder Bremen,34,21,3,10,76:40,36,45:23
5,1. FC Köln,34,19,6,9,74:41,33,44:24
6,1.FC Nuremberg,34,14,11,9,54:43,11,39:29
7,E. Frankfurt,34,16,6,12,64:46,18,38:30
8,Meidericher SV,34,14,8,12,70:48,22,36:32
9,Hamburger SV,34,13,8,13,64:52,12,34:34
10,E. Braunschweig,34,11,12,11,49:49,0,34:34
11,VfB Stuttgart,34,13,6,15,42:48,-6,32:36
12,Hannover 96,34,11,8,15,59:57,2,30:38
13,Bor. M'gladbach,34,9,11,14,57:68,-11,29:39
14,FC Schalke 04,34,10,7,17,33:55,-22,27:41
15,1.FC K'lautern,34,8,10,16,42:65,-23,26:42
16,Karlsruher SC,34,9,6,19,35:71,-36,24:44
17,B. Neunkirchen,34,9,4,21,32:82,-50,22:46
18,Tasmania Berlin,34,2,4,28,15:108,-93,8:60
