Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,20,13,1,67:31,36,53:15
2,Hamburger SV,34,19,9,6,69:37,32,47:21
3,Bor. M'gladbach,34,18,7,9,74:44,30,43:25
4,Bor. Dortmund,34,15,10,9,70:50,20,40:28
5,Werder Bremen,34,17,6,11,65:54,11,40:28
6,Bay. Leverkusen,34,16,7,11,56:38,18,39:29
7,1.FC K'lautern,34,15,7,12,64:51,13,37:31
8,Bay. Uerdingen,34,12,11,11,51:49,2,35:33
9,1.FC Nuremberg,34,12,11,11,62:62,0,35:33
10,1. FC Köln,34,13,9,12,50:53,-3,35:33
11,VfL Bochum,34,9,14,11,52:44,8,32:36
12,VfB Stuttgart,34,13,6,15,55:49,6,32:36
13,FC Schalke 04,34,12,8,14,50:58,-8,32:36
14,Waldh. Mannheim,34,10,8,16,52:71,-19,28:40
15,E. Frankfurt,34,8,9,17,42:53,-11,25:43
16,FC 08 Homburg,34,6,9,19,33:79,-46,21:47
17,F. Düsseldorf,34,7,6,21,42:91,-49,20:48
18,BW Berlin,34,3,12,19,36:76,-40,18:50
