Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Werder Bremen,34,19,10,5,63:30,33,48:20
2,Bayern Munich ,34,18,11,5,74:45,29,47:21
3,E. Frankfurt,34,15,12,7,56:39,17,42:26
4,Bor. Dortmund,34,18,5,11,61:43,18,41:27
5,Bay. Leverkusen,34,14,12,8,64:45,19,40:28
6,Karlsruher SC,34,14,11,9,60:54,6,39:29
7,VfB Stuttgart,34,12,12,10,56:50,6,36:32
8,1.FC K'lautern,34,13,9,12,50:40,10,35:33
9,Bor. M'gladbach,34,13,9,12,59:59,0,35:33
10,FC Schalke 04,34,11,12,11,42:43,-1,34:34
11,Hamburger SV,34,8,15,11,42:44,-2,31:37
12,1. FC Köln,34,12,4,18,41:51,-10,28:40
13,1.FC Nuremberg,34,10,8,16,30:47,-17,28:40
14,Wattenscheid 09,34,10,8,16,46:67,-21,28:40
15,Dynamo Dresden,34,7,13,14,32:49,-17,27:41
16,VfL Bochum,34,8,10,16,45:52,-7,26:42
17,Bay. Uerdingen,34,7,10,17,35:64,-29,24:44
18,Saarbrücken,34,5,13,16,37:71,-34,23:45
