Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,21,7,6,82:31,51,49:19
2,Werder Bremen,34,20,9,5,83:41,42,49:19
3,Bay. Uerdingen,34,19,7,8,63:60,3,45:23
4,Bor. M'gladbach,34,15,12,7,65:51,14,42:26
5,VfB Stuttgart,34,17,7,10,69:45,24,41:27
6,Bay. Leverkusen,34,15,10,9,63:51,12,40:28
7,Hamburger SV,34,17,5,12,52:35,17,39:29
8,Waldh. Mannheim,34,11,11,12,41:44,-3,33:35
9,VfL Bochum,34,14,4,16,55:57,-2,32:36
10,FC Schalke 04,34,11,8,15,53:58,-5,30:38
11,1.FC K'lautern,34,10,10,14,49:54,-5,30:38
12,1.FC Nuremberg,34,12,5,17,51:54,-3,29:39
13,1. FC Köln,34,9,11,14,46:59,-13,29:39
14,F. Düsseldorf,34,11,7,16,54:78,-24,29:39
15,E. Frankfurt,34,7,14,13,35:49,-14,28:40
16,Bor. Dortmund,34,10,8,16,49:65,-16,28:40
17,Saarbrücken,34,6,9,19,39:68,-29,21:47
18,Hannover 96,34,5,8,21,43:92,-49,18:50
