Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Werder Bremen,34,22,8,4,61:22,39,52:16
2,Bayern Munich ,34,22,4,8,83:45,38,48:20
3,1. FC Köln,34,18,12,4,57:28,29,48:20
4,VfB Stuttgart,34,16,8,10,69:49,20,40:28
5,1.FC Nuremberg,34,13,11,10,44:40,4,37:31
6,Hamburger SV,34,13,11,10,63:68,-5,37:31
7,Bor. M'gladbach,34,14,5,15,55:53,2,33:35
8,Bay. Leverkusen,34,10,12,12,53:60,-7,32:36
9,E. Frankfurt,34,10,11,13,51:50,1,31:37
10,Hannover 96,34,12,7,15,59:60,-1,31:37
11,Bay. Uerdingen,34,11,9,14,59:61,-2,31:37
12,VfL Bochum,34,10,10,14,47:51,-4,30:38
13,Bor. Dortmund,34,9,11,14,51:54,-3,29:39
14,1.FC K'lautern,34,11,7,16,53:62,-9,29:39
15,Karlsruher SC,34,9,11,14,37:55,-18,29:39
16,Waldh. Mannheim,34,7,14,13,35:50,-15,28:40
17,FC 08 Homburg,34,7,10,17,37:70,-33,24:44
18,FC Schalke 04,34,8,7,19,48:84,-36,23:45
