Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,24,7,3,101:38,63,55:13
2,FC Schalke 04,34,24,4,6,76:35,41,52:16
3,Bor. M'gladbach,34,18,7,9,82:40,42,43:25
4,1. FC Köln,34,15,13,6,64:44,20,43:25
5,E. Frankfurt,34,16,7,11,71:61,10,39:29
6,Hertha BSC,34,14,9,11,46:55,-9,37:31
7,1.FC K'lautern,34,14,7,13,59:53,6,35:33
8,VfB Stuttgart,34,13,9,12,52:56,-4,35:33
9,VfL Bochum,34,14,6,14,59:69,-10,34:34
10,Hamburger SV,34,13,7,14,52:52,0,33:35
11,Werder Bremen,34,11,9,14,63:58,5,31:37
12,E. Braunschweig,34,8,15,11,43:48,-5,31:37
13,F. Düsseldorf,34,10,10,14,40:53,-13,30:38
14,MSV Duisburg,34,10,7,17,36:51,-15,27:41
15,RW Oberhausen,34,7,11,16,33:66,-33,25:43
16,Hannover 96,34,10,3,21,54:69,-15,23:45
17,Bor. Dortmund,34,6,8,20,34:83,-49,20:48
18,Arm. Bielefeld,34,6,7,21,41:75,-34,0:30
