Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,1. FC Köln,30,17,11,2,78:40,38,45:15
2,E. Frankfurt,30,16,7,7,65:41,24,39:21
3,Meidericher SV,30,13,13,4,60:36,24,39:21
4,Bor. Dortmund,30,14,5,11,73:57,16,33:27
5,VfB Stuttgart,30,13,7,10,48:40,8,33:27
6,Hamburger SV,30,11,10,9,69:60,9,32:28
7,1860 Munich,30,11,9,10,66:50,16,31:29
8,FC Schalke 04,30,12,5,13,51:53,-2,29:31
9,1.FC Nuremberg,30,11,7,12,45:56,-11,29:31
10,Werder Bremen,30,10,8,12,53:62,-9,28:32
11,E. Braunschweig,30,11,6,13,36:49,-13,28:32
12,1.FC K'lautern,30,10,6,14,48:69,-21,26:34
13,Karlsruher SC,30,8,8,14,42:55,-13,24:36
14,Hertha BSC,30,9,6,15,45:65,-20,24:36
15,Preußen Münster,30,7,9,14,34:52,-18,23:37
16,Saarbrücken,30,6,5,19,44:72,-28,17:43
