Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,1.FC K'lautern,34,19,10,5,72:45,27,48:20
2,Bayern Munich ,34,18,9,7,74:41,33,45:23
3,Werder Bremen,34,14,14,6,46:29,17,42:26
4,E. Frankfurt,34,15,10,9,63:40,23,40:28
5,Hamburger SV,34,16,8,10,60:38,22,40:28
6,VfB Stuttgart,34,14,10,10,57:44,13,38:30
7,1. FC Köln,34,13,11,10,50:43,7,37:31
8,Bay. Leverkusen,34,11,13,10,47:46,1,35:33
9,Bor. M'gladbach,34,9,17,8,49:54,-5,35:33
10,Bor. Dortmund,34,10,14,10,46:57,-11,34:34
11,Wattenscheid 09,34,9,15,10,42:51,-9,33:35
12,F. Düsseldorf,34,11,10,13,40:49,-9,32:36
13,Karlsruher SC,34,8,15,11,46:52,-6,31:37
14,VfL Bochum,34,9,11,14,50:52,-2,29:39
15,1.FC Nuremberg,34,10,9,15,40:54,-14,29:39
16,FC St. Pauli,34,6,15,13,33:53,-20,27:41
17,Bay. Uerdingen,34,5,13,16,34:54,-20,23:45
18,Hertha BSC,34,3,8,23,37:84,-47,14:54
