Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,1.FC K'lautern,34,19,11,4,63:39,24,68
2,Bayern Munich ,34,19,9,6,69:37,32,66
3,Bay. Leverkusen,34,14,13,7,66:39,27,55
4,VfB Stuttgart,34,14,10,10,55:49,6,52
5,FC Schalke 04,34,13,13,8,38:32,6,52
6,Hansa Rostock,34,14,9,11,54:46,8,51
7,Werder Bremen,34,14,8,12,43:47,-4,50
8,MSV Duisburg,34,11,11,12,43:44,-1,44
9,Hamburger SV,34,11,11,12,38:46,-8,44
10,Bor. Dortmund,34,11,10,13,57:55,2,43
11,Hertha BSC,34,12,7,15,41:53,-12,43
12,VfL Bochum,34,11,8,15,41:49,-8,41
13,1860 Munich,34,11,8,15,43:54,-11,41
14,VfL Wolfsburg,34,11,6,17,38:54,-16,39
15,Bor. M'gladbach,34,9,11,14,54:59,-5,38
16,Karlsruher SC,34,9,11,14,48:60,-12,38
17,1. FC Köln,34,10,6,18,49:64,-15,36
18,Arm. Bielefeld,34,8,8,18,43:56,-13,32
