Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Hamburger SV,34,21,7,6,78:32,46,49:19
2,VfB Stuttgart,34,20,8,6,73:34,39,48:20
3,1.FC K'lautern,34,16,11,7,62:47,15,43:25
4,Bayern Munich ,34,16,8,10,69:46,23,40:28
5,E. Frankfurt,34,16,7,11,50:49,1,39:29
6,1. FC Köln,34,13,12,9,55:47,8,38:30
7,F. Düsseldorf,34,13,11,10,70:59,11,37:31
8,VfL Bochum,34,10,13,11,47:46,1,33:35
9,E. Braunschweig,34,10,13,11,50:55,-5,33:35
10,Bor. M'gladbach,34,12,8,14,50:53,-3,32:36
11,Werder Bremen,34,10,11,13,48:60,-12,31:37
12,Bor. Dortmund,34,10,11,13,54:70,-16,31:37
13,MSV Duisburg,34,12,6,16,43:56,-13,30:38
14,Hertha BSC,34,9,11,14,40:50,-10,29:39
15,FC Schalke 04,34,9,10,15,55:61,-6,28:40
16,Arm. Bielefeld,34,9,8,17,43:56,-13,26:42
17,1.FC Nuremberg,34,8,8,18,36:67,-31,24:44
18,SV Darmstadt 98,34,7,7,20,40:75,-35,21:47
