Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,VfB Stuttgart,34,19,10,5,79:33,46,48:20
2,Hamburger SV,34,21,6,7,75:36,39,48:20
3,Bor. M'gladbach,34,21,6,7,81:48,33,48:20
4,Bayern Munich ,34,20,7,7,84:41,43,47:21
5,Werder Bremen,34,19,7,8,79:46,33,45:23
6,1. FC Köln,34,16,6,12,70:57,13,38:30
7,Bay. Leverkusen,34,13,8,13,50:50,0,34:34
8,Arm. Bielefeld,34,12,9,13,40:49,-9,33:35
9,E. Braunschweig,34,13,6,15,54:69,-15,32:36
10,Bay. Uerdingen,34,12,7,15,66:79,-13,31:37
11,Waldh. Mannheim,34,10,11,13,45:58,-13,31:37
12,1.FC K'lautern,34,12,6,16,68:69,-1,30:38
13,Bor. Dortmund,34,11,8,15,54:65,-11,30:38
14,F. Düsseldorf,34,11,7,16,63:75,-12,29:39
15,VfL Bochum,34,10,8,16,58:70,-12,28:40
16,E. Frankfurt,34,7,13,14,45:61,-16,27:41
17,K. Offenbach,34,7,5,22,48:106,-58,19:49
18,1.FC Nuremberg,34,6,2,26,38:85,-47,14:54
