Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,20,11,3,68:34,34,71
2,Bay. Leverkusen,34,21,6,7,69:41,28,69
3,Bor. Dortmund,34,19,6,9,63:41,22,63
4,VfB Stuttgart,34,18,7,9,78:40,38,61
5,VfL Bochum,34,14,11,9,54:51,3,53
6,Karlsruher SC,34,13,10,11,55:44,11,49
7,1860 Munich,34,13,10,11,56:56,0,49
8,Werder Bremen,34,14,6,14,53:52,1,48
9,MSV Duisburg,34,12,9,13,44:49,-5,45
10,1. FC Köln,34,13,5,16,62:62,0,44
11,Bor. M'gladbach,34,12,7,15,46:48,-2,43
12,FC Schalke 04,34,11,10,13,35:40,-5,43
13,Hamburger SV,34,10,11,13,46:60,-14,41
14,Arm. Bielefeld,34,11,7,16,46:54,-8,40
15,Hansa Rostock,34,11,7,16,35:46,-11,40
16,F. Düsseldorf,34,9,6,19,26:57,-31,33
17,SC Freiburg,34,8,5,21,43:67,-24,29
18,FC St. Pauli,34,7,6,21,32:69,-37,27
