Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bor. Dortmund,34,19,11,4,76:38,38,68
2,Bayern Munich ,34,19,5,10,66:46,20,62
3,FC Schalke 04,34,14,14,6,45:36,9,56
4,Bor. M'gladbach,34,15,8,11,52:51,1,53
5,Hamburger SV,34,12,14,8,52:47,5,50
6,Hansa Rostock,34,13,10,11,47:43,4,49
7,Karlsruher SC,34,12,12,10,53:47,6,48
8,1860 Munich,34,11,12,11,52:46,6,45
9,Werder Bremen,34,10,14,10,39:42,-3,44
10,VfB Stuttgart,34,10,13,11,59:62,-3,43
11,SC Freiburg,34,11,9,14,30:41,-11,42
12,1. FC Köln,34,9,13,12,33:35,-2,40
13,F. Düsseldorf,34,8,16,10,40:47,-7,40
14,Bay. Leverkusen,34,8,14,12,37:38,-1,38
15,FC St. Pauli,34,9,11,14,43:51,-8,38
16,1.FC K'lautern,34,6,18,10,31:37,-6,36
17,E. Frankfurt,34,7,11,16,43:68,-25,32
18,KFC Uerdingen,34,5,11,18,33:56,-23,26
