Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,E. Braunschweig,34,17,9,8,49:27,22,43:25
2,1860 Munich,34,17,7,10,60:47,13,41:27
3,Bor. Dortmund,34,15,9,10,70:41,29,39:29
4,E. Frankfurt,34,15,9,10,66:49,17,39:29
5,1.FC K'lautern,34,13,12,9,43:42,1,38:30
6,Bayern Munich ,34,16,5,13,62:47,15,37:31
7,1. FC Köln,34,14,9,11,48:48,0,37:31
8,Bor. M'gladbach,34,12,10,12,70:49,21,34:34
9,Hannover 96,34,13,8,13,40:46,-6,34:34
10,1.FC Nuremberg,34,12,10,12,43:50,-7,34:34
11,Meidericher SV,34,10,13,11,40:42,-2,33:35
12,VfB Stuttgart,34,10,13,11,48:54,-6,33:35
13,Karlsruher SC,34,11,9,14,54:62,-8,31:37
14,Hamburger SV,34,10,10,14,37:53,-16,30:38
15,FC Schalke 04,34,12,6,16,37:63,-26,30:38
16,Werder Bremen,34,10,9,15,49:56,-7,29:39
17,RW Essen,34,6,13,15,35:53,-18,25:43
18,F. Düsseldorf,34,9,7,18,44:66,-22,25:43
