Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,19,12,3,67:26,41,50:18
2,1. FC Köln,34,18,9,7,58:30,28,45:23
3,Werder Bremen,34,18,8,8,55:32,23,44:24
4,Hamburger SV,34,17,9,8,60:36,24,43:25
5,VfB Stuttgart,34,16,7,11,58:49,9,39:29
6,Bor. M'gladbach,34,12,14,8,44:43,1,38:30
7,Bor. Dortmund,34,12,13,9,56:40,16,37:31
8,Bay. Leverkusen,34,10,14,10,45:44,1,34:34
9,1.FC K'lautern,34,10,13,11,47:44,3,33:35
10,FC St. Pauli,34,9,14,11,41:42,-1,32:36
11,Karlsruher SC,34,12,8,14,48:51,-3,32:36
12,Waldh. Mannheim,34,10,11,13,43:52,-9,31:37
13,Bay. Uerdingen,34,10,11,13,50:60,-10,31:37
14,1.FC Nuremberg,34,8,10,16,36:54,-18,26:42
15,VfL Bochum,34,9,8,17,37:57,-20,26:42
16,E. Frankfurt,34,8,10,16,30:53,-23,26:42
17,Stuttg. Kickers,34,10,6,18,41:68,-27,26:42
18,Hannover 96,34,4,11,19,36:71,-35,19:49
