Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Hamburger SV,34,18,12,4,95:45,50,48:20
2,1. FC Köln,34,18,9,7,72:38,34,45:23
3,Bayern Munich ,34,20,3,11,77:56,21,43:25
4,1.FC K'lautern,34,16,10,8,70:61,9,42:26
5,Werder Bremen,34,17,8,9,61:52,9,42:26
6,Bor. Dortmund,34,18,5,11,59:40,19,41:27
7,Bor. M'gladbach,34,15,10,9,61:51,10,40:28
8,E. Frankfurt,34,17,3,14,83:72,11,37:31
9,VfB Stuttgart,34,13,9,12,62:55,7,35:33
10,VfL Bochum,34,12,8,14,52:51,1,32:36
11,E. Braunschweig,34,14,4,16,61:66,-5,32:36
12,Arm. Bielefeld,34,12,6,16,46:50,-4,30:38
13,1.FC Nuremberg,34,11,6,17,53:72,-19,28:40
14,Karlsruher SC,34,9,9,16,50:68,-18,27:41
15,F. Düsseldorf,34,6,13,15,48:73,-25,25:43
16,Bay. Leverkusen,34,9,7,18,45:72,-27,25:43
17,SV Darmstadt 98,34,5,11,18,46:82,-36,21:47
18,MSV Duisburg,34,8,3,23,40:77,-37,19:49
