pos,team,pld,pts
1,NAPOLI,34,51
2,MILAN,34,49
3,INTER,34,44
4,JUVENTUS,34,44
5,SAMPDORIA,34,43
6,ROMA,34,41
7,ATALANTA,34,35
8,BOLOGNA,34,34
9,LAZIO,34,31
10,BARI,34,31
11,GENOA,34,29
12,FIORENTINA,34,28
13,CESENA,34,28
14,LECCE,34,28
15,UDINESE,34,27
16,HELLAS VERONA,34,25
17,CREMONESE,34,23
18,ASCOLI,34,21
