pos,team,pld,pts
1,ROMA,34,75
2,JUVENTUS,34,73
3,LAZIO,34,69
4,PARMA,34,56
5,INTER,34,51
6,MILAN,34,49
7,ATALANTA,34,44
8,BRESCIA,34,44
9,FIORENTINA,34,43
10,BOLOGNA,34,43
11,PERUGIA,34,42
12,UDINESE,34,38
13,LECCE,34,37
14,HELLAS VERONA,34,37
15,REGGINA,34,37
16,L. R. VICENZA,34,36
17,NAPOLI,34,36
18,BARI,34,20
