pos,team,pld,pts
1,JUVENTUS,38,102
2,ROMA,38,85
3,NAPOLI,38,78
4,FIORENTINA,38,65
5,INTER,38,60
6,PARMA,38,58
7,TORINO,38,57
8,MILAN,38,57
9,LAZIO,38,56
10,HELLAS VERONA,38,54
11,ATALANTA,38,50
12,SAMPDORIA,38,45
13,UDINESE,38,44
14,GENOA,38,44
15,CAGLIARI,38,39
16,CHIEVOVERONA,38,36
17,SASSUOLO,38,34
18,CATANIA,38,32
19,BOLOGNA,38,29
20,LIVORNO,38,25
