pos,team,pld,pts
1,JUVENTUS,34,74
2,INTER,34,69
3,UDINESE,34,64
4,ROMA,34,59
5,FIORENTINA,34,57
6,PARMA,34,57
7,LAZIO,34,56
8,BOLOGNA,34,48
9,SAMPDORIA,34,48
10,MILAN,34,44
11,BARI,34,38
12,EMPOLI,34,37
13,PIACENZA,34,37
14,L. R. VICENZA,34,36
15,BRESCIA,34,35
16,ATALANTA,34,32
17,LECCE,34,26
18,NAPOLI,34,14
