pos,team,pld,pts
1,INTER,38,85
2,ROMA,38,82
3,JUVENTUS,38,72
4,FIORENTINA,38,66
5,MILAN,38,64
6,SAMPDORIA,38,60
7,UDINESE,38,57
8,NAPOLI,38,50
9,ATALANTA,38,48
10,GENOA,38,48
11,PALERMO,38,47
12,LAZIO,38,46
13,ROBUR SIENA,38,44
14,CAGLIARI,38,42
15,TORINO,38,40
16,REGGINA,38,40
17,CATANIA,38,37
18,EMPOLI,38,36
19,PARMA,38,34
20,LIVORNO,38,30
