pos,team,pld,pts
1,NAPOLI,30,42
2,JUVENTUS,30,39
3,INTER,30,38
4,HELLAS VERONA,30,36
5,MILAN,30,35
6,SAMPDORIA,30,35
7,ROMA,30,33
8,AVELLINO,30,30
9,COMO,30,26
10,FIORENTINA,30,26
11,TORINO,30,26
12,ASCOLI,30,24
13,EMPOLI,30,23
14,BRESCIA,30,22
15,ATALANTA,30,21
16,UDINESE,30,15
