pos,team,pld,pts
1,SAMPDORIA,34,51
2,MILAN,34,46
3,INTER,34,46
4,GENOA,34,40
5,TORINO,34,38
6,PARMA,34,38
7,JUVENTUS,34,37
8,NAPOLI,34,37
9,ROMA,34,36
10,ATALANTA,34,35
11,LAZIO,34,35
12,FIORENTINA,34,31
13,BARI,34,29
14,CAGLIARI,34,29
15,LECCE,34,25
16,PISA,34,22
17,CESENA,34,19
18,BOLOGNA,34,18
