pos,team,pld,pts
1,JUVENTUS,34,72
2,INTER,34,65
3,MILAN,34,61
4,LAZIO,34,60
5,PARMA,34,56
6,UDINESE,34,56
7,CHIEVOVERONA,34,55
8,ROMA,34,49
9,BRESCIA,34,42
10,PERUGIA,34,42
11,BOLOGNA,34,41
12,MODENA,34,38
13,EMPOLI,34,38
14,REGGINA,34,38
15,ATALANTA,34,38
16,PIACENZA,34,30
17,COMO,34,24
18,TORINO,34,21
