pos,team,pld,pts
1,JUVENTUS,34,71
2,ROMA,34,70
3,INTER,34,69
4,MILAN,34,55
5,CHIEVOVERONA,34,54
6,LAZIO,34,53
7,BOLOGNA,34,52
8,PERUGIA,34,46
9,ATALANTA,34,45
10,PARMA,34,44
11,TORINO,34,43
12,PIACENZA,34,42
13,BRESCIA,34,40
14,UDINESE,34,40
15,HELLAS VERONA,34,39
16,LECCE,34,28
17,FIORENTINA,34,22
18,VENEZIA,34,18
