pos,team,pld,pts
1,MILAN,34,50
2,JUVENTUS,34,47
3,SAMPDORIA,34,44
4,LAZIO,34,44
5,PARMA,34,41
6,NAPOLI,34,36
7,ROMA,34,35
8,TORINO,34,34
9,FOGGIA,34,33
10,CREMONESE,34,32
11,GENOA,34,32
12,CAGLIARI,34,32
13,INTER,34,31
14,REGGIANA,34,31
15,PIACENZA,34,30
16,UDINESE,34,28
17,ATALANTA,34,21
18,LECCE,34,11
