pos,team,pld,pts
1,JUVENTUS,34,65
2,PARMA,34,63
3,INTER,34,59
4,LAZIO,34,55
5,UDINESE,34,54
6,SAMPDORIA,34,53
7,BOLOGNA,34,49
8,L. R. VICENZA,34,47
9,FIORENTINA,34,45
10,ATALANTA,34,44
11,MILAN,34,43
12,ROMA,34,41
13,NAPOLI,34,41
14,PIACENZA,34,37
15,CAGLIARI,34,37
16,PERUGIA,34,37
17,HELLAS VERONA,34,27
18,REGGIANA,34,19
