pos,team,pld,pts
1,JUVENTUS,34,73
2,LAZIO,34,63
3,PARMA,34,63
4,MILAN,34,60
5,ROMA,34,59
6,INTER,34,52
7,NAPOLI,34,51
8,SAMPDORIA,34,50
9,CAGLIARI,34,49
10,FIORENTINA,34,47
11,TORINO,34,45
12,BARI,34,44
13,CREMONESE,34,41
14,PADOVA,34,40
15,GENOA,34,40
16,FOGGIA,34,34
17,REGGIANA,34,18
18,BRESCIA,34,12
