pos,team,pld,pts
1,MILAN,34,73
2,JUVENTUS,34,65
3,LAZIO,34,59
4,FIORENTINA,34,59
5,ROMA,34,58
6,PARMA,34,58
7,INTER,34,54
8,SAMPDORIA,34,52
9,L. R. VICENZA,34,49
10,CAGLIARI,34,41
11,UDINESE,34,41
12,NAPOLI,34,41
13,ATALANTA,34,39
14,PIACENZA,34,37
15,BARI,34,32
16,TORINO,34,29
17,CREMONESE,34,27
18,PADOVA,34,24
