pos,team,pld,pts
1,JUVENTUS,38,87
2,NAPOLI,38,78
3,MILAN,38,72
4,FIORENTINA,38,70
5,UDINESE,38,66
6,ROMA,38,62
7,LAZIO,38,61
8,CATANIA,38,56
9,INTER,38,54
10,PARMA,38,49
11,CAGLIARI,38,47
12,CHIEVOVERONA,38,45
13,BOLOGNA,38,44
14,SAMPDORIA,38,42
15,ATALANTA,38,40
16,TORINO,38,39
17,GENOA,38,38
18,PALERMO,38,32
19,ROBUR SIENA,38,30
20,PESCARA,38,22
