pos,team,pld,pts
1,INTER,38,82
2,ROMA,38,80
3,MILAN,38,70
4,SAMPDORIA,38,67
5,PALERMO,38,65
6,NAPOLI,38,59
7,JUVENTUS,38,55
8,PARMA,38,52
9,GENOA,38,51
10,BARI,38,50
11,FIORENTINA,38,47
12,LAZIO,38,46
13,CATANIA,38,45
14,CHIEVOVERONA,38,44
15,UDINESE,38,44
16,CAGLIARI,38,44
17,BOLOGNA,38,42
18,ATALANTA,38,35
19,ROBUR SIENA,38,31
20,LIVORNO,38,29
