pos,team,pld,pts
1,JUVENTUS,38,95
2,NAPOLI,38,91
3,ROMA,38,77
4,INTER,38,72
5,LAZIO,38,72
6,MILAN,38,64
7,ATALANTA,38,60
8,FIORENTINA,38,57
9,TORINO,38,54
10,SAMPDORIA,38,54
11,SASSUOLO,38,43
12,GENOA,38,41
13,CHIEVOVERONA,38,40
14,UDINESE,38,40
15,BOLOGNA,38,39
16,CAGLIARI,38,39
17,SPAL,38,38
18,CROTONE,38,35
19,HELLAS VERONA,38,25
20,BENEVENTO,38,21
