pos,team,pld,pts
1,INTER,34,58
2,NAPOLI,34,47
3,MILAN,34,46
4,JUVENTUS,34,43
5,SAMPDORIA,34,39
6,ATALANTA,34,36
7,FIORENTINA,34,34
8,ROMA,34,34
9,LECCE,34,31
10,LAZIO,34,29
11,HELLAS VERONA,34,29
12,ASCOLI,34,29
13,CESENA,34,29
14,BOLOGNA,34,29
15,TORINO,34,27
16,PESCARA,34,27
17,PISA,34,23
18,COMO,34,22
