pos,team,pld,pts
1,INTER,38,76
2,ROMA,38,69
3,MILAN,38,58
4,CHIEVOVERONA,38,54
5,PALERMO,38,52
6,LIVORNO,38,49
7,PARMA,38,45
8,EMPOLI,38,45
9,FIORENTINA,38,44
10,ASCOLI,38,43
11,UDINESE,38,43
12,SAMPDORIA,38,41
13,REGGINA,38,41
14,CAGLIARI,38,39
15,ROBUR SIENA,38,39
16,LAZIO,38,32
17,MESSINA,38,31
18,LECCE,38,29
19,TREVISO,38,21
20,JUVENTUS,38,0
