pos,team,pld,pts
1,MILAN,34,50
2,INTER,34,46
3,PARMA,34,41
4,JUVENTUS,34,39
5,LAZIO,34,38
6,CAGLIARI,34,37
7,SAMPDORIA,34,36
8,ATALANTA,34,36
9,TORINO,34,35
10,ROMA,34,33
11,NAPOLI,34,32
12,FOGGIA,34,32
13,GENOA,34,31
14,UDINESE,34,30
15,BRESCIA,34,30
16,FIORENTINA,34,30
17,ANCONA,34,19
18,PESCARA,34,17
