pos,team,pld,pts
1,MILAN,34,82
2,ROMA,34,71
3,JUVENTUS,34,69
4,INTER,34,59
5,PARMA,34,58
6,LAZIO,34,56
7,UDINESE,34,50
8,SAMPDORIA,34,46
9,CHIEVOVERONA,34,44
10,LECCE,34,41
11,BRESCIA,34,40
12,BOLOGNA,34,39
13,REGGINA,34,34
14,ROBUR SIENA,34,34
15,PERUGIA,34,32
16,MODENA,34,30
17,EMPOLI,34,30
18,ANCONA,34,13
