pos,team,pld,pts
1,JUVENTUS,38,86
2,MILAN,38,79
3,INTER,38,72
4,UDINESE,38,62
5,SAMPDORIA,38,61
6,PALERMO,38,53
7,MESSINA,38,48
8,ROMA,38,45
9,LIVORNO,38,45
10,LAZIO,38,44
11,LECCE,38,44
12,CAGLIARI,38,44
13,REGGINA,38,44
14,ROBUR SIENA,38,43
15,CHIEVOVERONA,38,43
16,FIORENTINA,38,42
17,PARMA,38,42
18,BOLOGNA,38,42
19,BRESCIA,38,41
20,ATALANTA,38,35
