pos,team,pld,pts
1,MILAN,30,45
2,NAPOLI,30,42
3,ROMA,30,38
4,SAMPDORIA,30,37
5,INTER,30,32
6,JUVENTUS,30,31
7,TORINO,30,31
8,FIORENTINA,30,28
9,CESENA,30,26
10,HELLAS VERONA,30,25
11,COMO,30,25
12,ASCOLI,30,24
13,PISA,30,24
14,PESCARA,30,24
15,AVELLINO,30,23
16,EMPOLI,30,20
