pos,team,pld,pts
1,JUVENTUS,38,84
2,MILAN,38,80
3,UDINESE,38,64
4,LAZIO,38,62
5,NAPOLI,38,61
6,INTER,38,58
7,ROMA,38,56
8,PARMA,38,56
9,BOLOGNA,38,51
10,CHIEVOVERONA,38,49
11,CATANIA,38,48
12,ATALANTA,38,46
13,FIORENTINA,38,46
14,ROBUR SIENA,38,44
15,CAGLIARI,38,43
16,PALERMO,38,43
17,GENOA,38,42
18,LECCE,38,36
19,NOVARA,38,32
20,CESENA,38,22
