pos,team,pld,pts
1,MILAN,38,82
2,INTER,38,76
3,NAPOLI,38,70
4,UDINESE,38,66
5,LAZIO,38,66
6,ROMA,38,63
7,JUVENTUS,38,58
8,PALERMO,38,56
9,FIORENTINA,38,51
10,GENOA,38,51
11,CHIEVOVERONA,38,46
12,PARMA,38,46
13,CATANIA,38,46
14,CAGLIARI,38,45
15,CESENA,38,43
16,BOLOGNA,38,42
17,LECCE,38,41
18,SAMPDORIA,38,36
19,BRESCIA,38,32
20,BARI,38,24
