pos,team,pld,pts
1,JUVENTUS,38,87
2,ROMA,38,70
3,LAZIO,38,69
4,FIORENTINA,38,64
5,NAPOLI,38,63
6,GENOA,38,59
7,SAMPDORIA,38,56
8,INTER,38,55
9,TORINO,38,54
10,MILAN,38,52
11,PALERMO,38,49
12,SASSUOLO,38,49
13,HELLAS VERONA,38,46
14,CHIEVOVERONA,38,43
15,EMPOLI,38,42
16,UDINESE,38,41
17,ATALANTA,38,37
18,CAGLIARI,38,34
19,CESENA,38,24
20,PARMA,38,19
