pos,team,pld,pts
1,MILAN,34,70
2,LAZIO,34,69
3,FIORENTINA,34,56
4,PARMA,34,55
5,ROMA,34,54
6,UDINESE,34,54
7,JUVENTUS,34,54
8,INTER,34,46
9,BOLOGNA,34,44
10,BARI,34,42
11,VENEZIA,34,42
12,CAGLIARI,34,41
13,PIACENZA,34,41
14,PERUGIA,34,39
15,SALERNITANA,34,38
16,SAMPDORIA,34,37
17,L. R. VICENZA,34,33
18,EMPOLI,34,20
